iter	Passed	Remaining
332	69934	140079
333	70067	139714
334	70324	139598
335	70500	139321
336	70668	139031
337	70927	138917
338	71489	139393
339	71795	139366
340	72031	139205
341	72304	139113
342	72581	139026
343	72822	138870
344	73062	138711
345	73455	138842
346	73766	138817
347	74000	138644
348	74253	138507
349	74514	138383
350	74747	138208
351	74988	138047
352	75274	137967
353	75549	137867
354	75817	137752
355	76045	137565
356	76276	137383
357	76547	137271
358	76737	137015
359	76957	136813
360	77208	136665
361	77393	136399
362	77621	136211
363	77802	135940
364	77971	135649
365	78154	135383
366	78356	135148
367	78564	134926
368	78783	134722
369	79008	134528
370	79202	134282
371	79418	134071
372	79803	134146
373	80177	134200
374	80498	134164
375	80788	134074
376	81025	133896
377	81231	133666
378	81429	133423
379	81709	133314
380	81951	133145
381	82231	133034
382	82419	132774
383	82629	132552
384	82885	132401
385	83063	132127
386	83255	131875
387	83427	131592
388	83625	131350
389	83872	131184
390	84033	130885
391	84261	130691
392	84455	130443
393	84680	130244
394	84867	129986
395	85069	129752
396	85272	129520
397	85497	129320
398	85645	129004
